id,HK1,HK10,HK11,HK12,HK13,HK14,HK15,HK16,HK17,HK18,HK19,HK2,HK20,HK21,HK22,HK23,HK24,HK25,HK27,HK28,HK29,HK3,HK30,HK31,HK32,HK33,HK34,HK35,HK36,HK37,HK38,HK39,HK4,HK40,HK41,HK42,HK43,HK44,HK45,HK46,HK47,HK48,HK49,HK5,HK50,HK51,HK52,HK53,HK54,HK55,HK56,HK57,HK58,HK59,HK6,HK61,HK62,HK63,HK64,HK65,HK66,HK67,HK68,HK69,HK7,HK70,HK71,HK72,HK73,HK74,HK75,HK76,HK77,HK78,HK79,HK8,HK80,HK81,HK82,HK83,HK84,HK85,HK86,HK87,HK88,HK89,HK9,HK90
cf66dfa165da071b93e806316dbbb488,8,3,5,0,0,0,0,649,139,168,1290,5,25884,12020,78,664,1618,981,95,0,0,0,0,0,0,0,4,0,3,203,21,701,0,921,242,145,0,86,276,24,244,415,0,0,0,0,0,0,0,258,802,0,0,0,0,4,0,133,0,0,0,0,0,5,3,0,0,0,3426,1145,446,152,1630,191,109,0,227,2890,39,152,72,0,21,42,0,11,5,0
3282468a4370b446355ab30f577ef32d,0,0,0,0,0,0,0,10,0,0,0,0,38,0,0,99,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,589,537,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20123,0,1637,84,0,0,0,0,0,37,0,151,237,0,0,0,0,0,0
6f911291c15db3fec67f5b1a7be2d232,3,7,0,4,0,0,0,10,0,3,0,3,0,0,0,0,0,0,2,0,4,0,8,0,2,0,16,0,42,0,23,0,0,0,0,0,6,0,0,24,11,0,0,0,0,0,0,0,0,127,611,180,29,6,4,11,10,518,6,130,0,891,11,42,0,201,0,0,196,66,237,0,0,5,94,0,0,31,46,109,12,3,16,9,72,129,0,229
096a5350ff517367255e9ac1294556ab,9,6,0,16,0,0,0,0,0,0,8,0,0,19,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,0,0,21,11,0,26,18,0,34,0,15,0,0,16,0,0,0,0,136,190,130,0,0,0,55,46,139,26,0,55,0,145,94,0,112,24,137,10,52,0,121,0,186,57,0,85,121,183,252,0,37,224,0,0,266,0,231
a49103311b6478f062a7738d5a90dc89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,69,0,26,0,7,0,0,0,0,0
2d6168af2ffa78c6c71146c8a10681a9,17,34,17,10,41,24,10,0,17,0,22,8,4,16,0,7,0,4,0,4,6,10,7,13,132,9,30,37,10,34,30,65,6,173,206,117,32,101,20,116,29,33,5,2,20,49,11,9,4,470,505,375,73,743,35,141,2,1023,18,23,18,74,0,50,12,179,25,6,228,10,72,41,56,2,7,0,77,147,130,250,0,1323,8,22,22,441,13,204
9eee1ef2c2122371bcad048097225683,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,131,0,0,0,0,0,30,0,0,0,0,0,0,0,83,0,0,0,76,0,0,2,0,174,0,0,0,5,0,15,0,0,0,0,0
d1abcf42f7b76530b2fe629619e6f0f6,0,0,0,3,0,0,0,35,14,9,33,0,20,5,0,7,2,7,22,0,0,0,0,0,0,0,0,0,0,52,153,50,0,85,200,106,166,186,92,110,26,26,0,0,0,0,0,0,0,2537,5791,3176,2377,168,0,96,635,3480,464,48,2834,121,3466,3050,0,2329,373,338,4050,74,0,73,105,601,878,0,57,2816,484,433,83,63,930,1437,18,3127,0,3835
0e74255d9a5a90baab6ee153c7576d52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,15,0,535,30,23,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,230,0,1272,7025,0,0,0,0,5,0,38,0,0,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,13,0,0,0,0,87,848,20,24,0,0,63,0,0
4bacb15d98b982b563bd0153bb16a1fb,192,439,263,84,0,0,0,264,295,146,1107,125,259,289,6194,864,0,335,474,155,96,176,24,7,80,29,76,0,6,1690,419,1143,0,328,366,1081,820,107,5547,872,4809,504,0,0,0,12,0,0,2,439,558,383,416,0,0,55,162,0,267,118,344,60,249,1953,0,390,333,422,355,3331,10,303,2,171,1252,0,104,666,59,239,1692,7,566,642,0,770,14,720
b8fe6a8b760c2100c18586a1e2dc723b,26,1086,265,81,0,0,0,254,5764,762,0,0,0,0,0,137,710,402,90,794,2,0,430,653,1097,905,0,9,0,338,38,155,0,0,0,0,0,26,146,609,2070,555,56,49,7,916,866,0,21,113,593,292,357,31,0,1494,357,9,235,1245,140,0,111,2317,602,323,7038,0,0,7626,2143,576,1866,953,5102,0,3,173,1531,495,473,45,423,161,11,204,0,632
c13c728e13bb95925e28c076a363a93e,209,0,0,2,0,3,0,3,0,0,0,0,0,62,0,0,0,3,5,0,0,13,0,10,70,346,0,0,0,5,8,0,0,3,52,11,67,15,3,181,95,62,0,0,0,4,0,0,4,2033,17412,1209,46,1879,0,116,80,94,23,415,100,20,53,112,0,584,82,17,262,28,13,7,29,22,16,0,43,22,19,2498,17,1550,30,37,1035,806,7,225
030ccc57477a28dbc0598cba734be78b,0,0,0,0,0,0,0,0,0,0,7,0,12,0,232,27,0,805,184,0,0,0,0,38,534,5,0,0,0,0,0,0,0,128,4204,0,0,16,266,1692,275,32,472,0,0,329,0,0,0,42,0,8946,1668,452,0,181,513,0,0,15275,3704,18,0,0,0,0,0,0,0,29,97844,47,29,0,12,0,0,2653,0,14431,1720,126,74,108,296,0,0,75
89167414b9b1952ee8e9aa9020111acd,0,0,0,0,0,0,0,5,12,6,27,0,0,0,0,13,5,0,0,0,0,0,3,0,12,9,27,12,4,0,0,0,0,17,0,5,4,19,9,11,0,0,0,0,0,8,0,0,0,10,5,7,0,11,0,25,3,7,2,0,3,4,4,0,0,4,0,0,7,0,0,10,0,0,3,0,27,12,17,11,20,10,26,11,5,9,0,8
7a8d3fc0fab2cd1fe14f4867ba0b5d79,14,0,0,0,0,0,0,215,1365,87,0,1476,35,0,0,6,0,63,122,0,0,838,3,0,0,0,0,0,0,56,9,6,2944,33,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,59,60,1103,3,0,13,1398,0,20782,3613,539,385,6336,169,17234,0,5172,121,564,1075,4422,0,1250,0,0,201,0,258,0,271,7,2195,8,52,157,15,1281,0,371
8f5863f2215107e6996a2f00c37b4db1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,32,20,17,0,0,8,0,0,0,0,0,0,133,0,0,0,0,17,0,0,0,15,0,0,0,0,0,14,10,0
f95ab8d32dc0d4057a0243574f9cfa38,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,243,0,172,38,8,0,0,0,0,0,10,9,76,63,78,18,29,72,0,33,146,97,0,55,0,21,61,0,0,0,11
5e6793f2e45dd56ea765ffd12384307a,1998,424,1901,722,0,0,0,93,123,172,46,3418,10,9,0,302,0,0,0,0,0,4701,0,0,0,0,0,0,0,317,362,88,18,425,986,0,0,19,26,0,39,0,0,19,0,0,0,0,0,2790,3567,1551,3721,219,474,527,887,4145,2046,4144,2440,2352,4426,10952,1251,8950,4660,2367,1195,438,157,0,1501,487,503,0,0,321,0,104,830,0,5,0,3,869,0,1986
70123123ad7e7dc6aba2267f10614bfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
6a95c8b1d073afa3658bd3efc9801f9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,47,0,0,0,0,0,461,0,1818,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,318,0,3565,0,0,221,0,0,0
