Community,site,Richness.x,TotalAbundance,UniqueOTUs,SharingProp.50,SourceIndex,Degree,Strength,cluster,deployDate,sampledDate,phase,latitude,longitude,fullFrac,meanTPC,tpcIndex,Arthropoda,Annelida,Bacillariophyta,Rhodophyta,Mollusca,Porifera,Cnidaria,unAssigned,Assigned,perArthropoda,perAnnelida,perBacillariophyta,perRhodophyta,perMollusca,perPorifera,perCnidaria,Evenness
HK1,PI,564,220318,32,0.24822695,2.71202286,25,7.505525194,1,5/1/15,10/1/17,toloARMS,22.501722,114.356639,yes,459,1.22875817,64,64,30,31,28,31,28,240,324,0.197530864,0.197530864,0.092592593,0.095679012,0.086419753,0.095679012,0.086419753,0.860320346
HK10,TPC,510,221292,19,0.229411765,3.287402206,33,9.833062191,1,5/1/15,10/1/17,toloARMS,22.542789,114.43738,yes,459,1.111111111,66,76,20,16,22,17,16,249,261,0.252873563,0.291187739,0.076628352,0.061302682,0.084291188,0.0651341,0.061302682,0.857841669
HK11,TPC,499,258746,45,0.218436874,0.947197201,9,3.097883021,1,5/1/15,10/1/17,toloARMS,22.542789,114.43738,yes,459,1.087145969,37,72,12,18,11,17,20,282,217,0.170506912,0.331797235,0.055299539,0.082949309,0.050691244,0.078341014,0.092165899,0.831005041
HK12,TPC,368,254585,8,0.266304348,0.899108933,7,2.279358326,1,5/1/15,10/1/17,toloARMS,22.542789,114.43738,yes,459,0.801742919,46,66,5,20,16,17,21,146,222,0.207207207,0.297297297,0.022522523,0.09009009,0.072072072,0.076576577,0.094594595,0.818291591
HK13,CI,374,271855,22,0.251336898,2.254034699,19,6.666444818,2,1/1/18,1/1/19,lgoWin,22.437247,114.221305,yes,513.6666667,0.728098637,41,51,6,3,14,18,12,189,185,0.221621622,0.275675676,0.032432432,0.016216216,0.075675676,0.097297297,0.064864865,0.824744162
HK14,CI,348,261589,11,0.270114943,1.49651101,12,4.048407928,2,1/1/18,1/1/19,lgoWin,22.437247,114.221305,yes,513.6666667,0.677482154,47,53,3,2,18,17,11,169,179,0.262569832,0.296089385,0.016759777,0.011173184,0.100558659,0.094972067,0.061452514,0.826723148
HK15,CI,412,254488,25,0.225728155,1.355547614,13,4.434009863,2,1/1/18,1/1/19,lgoWin,22.437247,114.221305,yes,513.6666667,0.802076574,50,53,4,2,16,17,10,222,190,0.263157895,0.278947368,0.021052632,0.010526316,0.084210526,0.089473684,0.052631579,0.835030166
HK16,TPC,487,260840,23,0.256673511,3.137057227,26,8.83346369,1,1/1/18,1/1/19,lgoWin,22.542789,114.43738,yes,513.6666667,0.948085659,54,52,16,24,20,16,7,256,231,0.233766234,0.225108225,0.069264069,0.103896104,0.086580087,0.069264069,0.03030303,0.846907532
HK17,TPC,538,301709,28,0.252788104,3.110613543,25,8.68015014,1,1/1/18,1/1/19,lgoWin,22.542789,114.43738,yes,513.6666667,1.047371836,59,57,21,36,19,16,8,274,264,0.223484848,0.215909091,0.079545455,0.136363636,0.071969697,0.060606061,0.03030303,0.842037454
HK18,TPC,516,283011,19,0.242248062,2.903272777,26,8.368718126,1,1/1/18,1/1/19,lgoWin,22.542789,114.43738,yes,513.6666667,1.004542505,46,66,11,31,17,11,6,282,234,0.196581197,0.282051282,0.047008547,0.132478632,0.072649573,0.047008547,0.025641026,0.841531095
