ARMSno,TIN,chlA,TEMP,OP,Eco
HK1,0.075090252,1.013081431,23.53991699,0.005665731,0.718207777
HK10,0.276225656,1.948901534,23.84183502,0.016998714,234.8890991
HK11,0.276225656,1.948901534,23.84183502,0.016998714,234.8890991
HK12,0.276225656,1.948901534,23.84183502,0.016998714,234.8890991
HK2,0.075090252,1.013081431,23.53991699,0.005665731,0.718207777
HK3,0.075090252,1.013081431,23.53991699,0.005665731,0.718207777
HK4,0.107557766,1.527985334,23.13617897,0.007613799,0.782794416
HK5,0.107557766,1.527985334,23.13617897,0.007613799,0.782794416
HK6,0.107557766,1.527985334,23.13617897,0.007613799,0.782794416
HK7,0.085565738,2.196580648,24.1392765,0.005459873,1.625215888
HK8,0.085565738,2.196580648,24.1392765,0.005459873,1.625215888
HK9,0.085565738,2.196580648,24.1392765,0.005459873,1.625215888
HK13,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK14,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK15,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK16,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK17,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK18,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK19,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK20,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK21,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK22,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK23,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK24,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK25,0.090672486,1.215394735,23.74014473,0.008954053,37.59355164
HK27,0.090672486,1.215394735,23.74014473,0.008954053,37.59355164
HK28,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK29,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK30,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK31,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK32,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK33,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK34,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK35,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK36,0.038608309,4.287210941,24.52017593,0.003939311,1.758763433
HK37,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK38,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK39,0.222703204,1.696144223,23.89308167,0.015885502,177.5927124
HK40,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK41,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK42,0.04801026,0.812758029,22.88765526,0.008970416,1.167651772
HK43,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK44,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK45,0.047361363,0.751253843,23.20133972,0.007305737,9.125325203
HK46,0.090672486,1.215394735,23.74014473,0.008954053,37.59355164
HK47,0.090672486,1.215394735,23.74014473,0.008954053,37.59355164
HK48,0.090672486,1.215394735,23.74014473,0.008954053,37.59355164
HK49,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK50,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK51,0.314091206,3.775034666,24.48526001,0.013518195,15.82331848
HK52,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK53,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK54,0.227954298,1.695957303,23.8988266,0.016138988,180.3683167
HK55,0.20738624,2.647513866,24.4375515,0.017452218,277.5101013
HK56,0.20738624,2.647513866,24.4375515,0.017452218,277.5101013
HK89,0.063153192,1.721894383,24.04491806,0.008041235,17.61353493
HK90,0.063153192,1.721894383,24.04491806,0.008041235,17.61353493
HK57,0.142048776,1.867303967,23.49947739,0.006598867,75.45256042
HK59,0.241308123,3.542788267,25.74603844,0.004622995,41.16392136
