sequence name,identity,alignmentLength,maxAlignment,phylum,class,order,family,genus,species,db
ebcc40d5e025bdcb66fe5bfbc180536a,99.681,313,31200.153,Arthropoda,Malacostraca,Decapoda,Alpheidae,Athanas,Athanas_parvus,SHELBY
f2c892cbc38fbbf5eec8fc4fba3b1276,100,313,31300,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,Nereididae_HK01,SHELBY
ade3cc653418bb6fa1a4474e6b3c2b3b,100,313,31300,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella_pungens,SHELBY
23d60f46b053f35fbb27de9f6fc72c25,94.569,313,29600.097,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
f0a0d581cc6a65cfce1e0d1a726d7973,82.119,302,24799.938,Annelida,Clitellata,Haplotaxida,Megascolecidae,Metaphire,Metaphire_tosaensis,SHELBY
c5e9d88e336318ae13dc9d4ce77b437c,100,313,31300,Porifera,Demospongiae,Suberitida,Suberitidae,NA,Suberitidae_HK02,SHELBY
9a2e801265201c290234cbb4cd625a05,100,313,31300,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK04,SHELBY
a7f2f6611347fc0ff9138181ec3156f0,99.681,313,31200.153,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae_HK01,SHELBY
1efc43e70226f5f46933a5a7a4122d40,100,313,31300,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius,Lepidonotus_HK01,SHELBY
74d85736ad8dd79e64cc7b6e55e7c330,100,313,31300,Chordata,Actinopterygii,Perciformes,Gobiidae,Eviota,Eviota_HK01,SHELBY
7d2811f0973c48db718f6549abec953d,91.054,313,28499.902,Annelida,Polychaeta,Spionida,Cirratulidae,Dodecaceria,Dodecaceria_sp._AMW23009,SHELBY
352f762cc14ea89c833f13ebd9ba11af,98.718,312,30800.016,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis,Ophiactis_lymani,SHELBY
bf0777d0b1a66d15dd48d8aafd744bfa,99.361,313,31099.993,Echinodermata,Ophiuroidea,NA,NA,NA,Ophiuroidea_HK02,SHELBY
0fafc0a76ddd614534c23780cc95475c,100,313,31300,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Thor,Thor_paschalis_HK02,SHELBY
b04701a6d0805fa074f611a143778a03,100,313,31300,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,Myrianida_pachycera,SHELBY
bd6155f17bce6c04cef78938eb7ae429,100,312,31200,Annelida,Polychaeta,Phyllodocida,Hesionidae,Leocrates,Leocrates_chinensis_HK01,SHELBY
